WARNING: 7 open meshes remove
     Removed: Starship Fuse
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
...Mass Properties...
104 Num Comps
103 Total Num Meshes
92232 Total Num Tris

182227.878581             Total Mass
78.331672 0.000015 0.000003       Center of Gravity
2895975.216225 241702346.411173 241702348.020609       Ixx, Iyy, Izz
-124.852664 -0.634722 5391.035022       Ixy, Ixz, Iyz
6884.174232             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Raptor_SL_OuterRing-13	1422.026000	118.671654	2.414275	3.497681	243.427496	1387.078611	1418.022080	-1.559919	0.532369	3.914066	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	0.512281	4.219013	242.200641	1386.755402	1417.118434	-2.130937	0.462668	0.370594	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	-1.507071	3.973819	240.575562	1401.292046	1400.956712	-2.594276	1.741917	0.411959	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	-3.181171	2.818271	242.178694	1402.094130	1401.757759	3.870335	1.900285	1.501524	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	-4.126503	1.017092	243.096919	1388.382555	1416.387559	-0.258232	0.092434	5.004328	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	-4.126503	-1.017092	243.098975	1387.568395	1417.203775	-1.303501	0.464619	1.162953	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	-3.181171	-2.818271	242.306571	1402.242060	1401.737708	-1.313757	1.626567	-1.227068	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	-1.507071	-3.973819	240.859690	1401.471764	1401.061121	-0.445326	0.783920	-1.417082	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	0.512281	-4.219013	242.112983	1388.378715	1415.407463	1.275090	1.453347	6.996339	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	2.414275	-3.497681	243.693595	1386.127859	1419.238932	0.179909	-0.078083	3.220656	2.477397
Raptor_SL_OuterRing-13	1422.025874	118.671654	3.763188	-1.975073	235.622146	1392.587484	1404.707477	-2.953328	0.653948	4.707706	2.477397
vol_CH4Tank_2	9654.685080	26.114331	-0.000241	-0.000028	154685.897022	150012.251863	148348.434967	-8.491507	-1.157906	3603.022966	580.441511
CH4_HeaderTank	542.894566	33.931835	0.000038	0.000000	891.753130	741.184257	741.389111	0.081249	-0.000012	0.000007	12.703813
vol_LOXTank_2	18564.388806	38.477446	0.000268	0.000044	328199.622493	570779.248533	572122.105967	-37.121184	6.241568	1665.294107	784.207973
Raptor_SL	1458.572411	48.673395	0.000000	0.900000	233.060220	1412.125387	1406.604449	-0.052815	-1.681839	-0.034906	2.541067
Raptor_SL	1458.572411	48.673395	-0.779423	-0.450000	253.085754	1404.447422	1434.307948	0.976117	0.637593	9.188433	2.541067
Raptor_SL	1458.572411	48.673395	0.779423	-0.450000	252.685101	1403.910757	1434.443960	2.004333	0.962090	5.828664	2.541067
Raptor_Vac	1975.534621	48.703757	0.000000	-2.500000	1021.787065	2550.888471	2563.760612	3.120861	-0.512483	4.998607	8.515235
Raptor_Vac	1975.534621	48.703757	2.165064	1.250000	1050.246028	2551.281229	2591.826817	2.341008	3.698860	12.081650	8.515235
Raptor_Vac	1975.534621	48.703757	-2.165064	1.250000	1052.501863	2552.252334	2593.111547	2.279512	0.533272	18.039860	8.515235
vol_LOXheader	763.725580	1.601517	-0.000000	-0.000000	1057.174450	1456.146241	1232.711763	-0.000000	-0.000000	-0.000000	19.884807
Crew+Cargo_Internal	12454.724023	13.638242	0.000000	0.000000	188723.440811	519903.892474	519816.918014	-4.478745	-6.063149	-11.666807	981.080320
Landing Gear Parent	100.000000	44.988862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	182227.878581	78.331672	0.000015	0.000003	2895975.216225	241702346.411173	241702348.020609	-124.852664	-0.634722	5391.035022	6884.174232
