...Mass Properties...
92 Num Comps
92 Total Num Meshes
69360 Total Num Tris

166033.870368             Total Mass
87.597196 0.000755 -0.000682       Center of Gravity
3878738.407976 129827226.976905 130650818.200505       Ixx, Iyy, Izz
-4458.973332 4037.251943 979.799293       Ixy, Ixz, Iyz
4477.771684             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Raptor_SL_OuterRing-13	1444.235842	118.699007	4.250000	0.000000	247.843342	1254.790893	1284.053634	-0.995835	0.211795	1.683359	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	3.763188	1.975073	240.831131	1259.278611	1272.553705	1.788946	0.224721	-1.813167	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	2.414275	3.497681	248.091399	1253.853182	1285.239401	0.668960	0.479725	3.426783	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	0.512281	4.219013	247.637407	1253.170889	1285.467703	-0.003073	0.078970	0.429686	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	-1.507071	3.973819	246.285730	1268.916068	1268.370846	0.085130	0.542610	0.895704	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	-3.181171	2.818271	247.172394	1269.628726	1268.544852	0.593954	-0.758822	0.440499	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	-4.126503	1.017092	247.562675	1255.600235	1282.963625	0.537645	0.141200	5.157141	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	-4.126503	-1.017092	247.475470	1254.746578	1283.730077	0.003396	0.148271	1.481434	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	-3.181171	-2.818271	247.143320	1269.655891	1268.488614	-0.215892	0.090845	-0.427543	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	-1.507071	-3.973819	246.431413	1269.072529	1268.360069	-0.810125	0.482778	-0.653101	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	0.512281	-4.219013	247.458768	1255.007203	1283.452749	-0.879886	-0.068231	7.454818	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	2.414275	-3.497681	248.509197	1252.748599	1286.761783	0.261949	0.185556	4.145928	2.516090
Raptor_SL_OuterRing-13	1444.235842	118.699007	3.763188	-1.975073	240.688011	1259.958394	1271.730802	-0.651885	0.505414	4.918134	2.516090
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	166033.870368	87.597196	0.000755	-0.000682	3878738.407976	129827226.976905	130650818.200505	-4458.973332	4037.251943	979.799293	4477.771684
